licitacao_contrato,id,data,catmat_id,quantidade,unidade,valor_unitario,valor_total,municipio_uasg,municipio_fornecedor,distancia_uasg_fornecedor
0,950822,2022-05-16,445485,1500, ,8.12,12180.0,21172,19810,1454.23
0,951816,2022-07-25,445485,1362, ,8.79,11972.0,93734,93734,0.0
0,952054,2022-07-26,445485,1080, ,5.39,5821.2,6050,6050,0.0
0,952986,2022-07-26,445485,64, ,13.75,880.0,9210,88013,1454.23
0,953445,2022-07-29,445485,408, ,9.75,3978.0,9210,8036,1454.23
0,953866,2022-07-28,445485,1300, ,7.0,9100.0,35,62910,1454.23
0,954177,2022-07-29,445485,6000, ,13.8,82800.0,47333,47333,0.0
0,954416,2022-07-20,445485,4700, ,5.64,26508.0,25313,17795,1454.23
0,954417,2022-07-20,445485,200, ,7.24,1448.0,25313,17795,1454.23
0,954418,2022-07-20,445485,120, ,7.24,868.8,25313,17795,1454.23
0,954419,2022-07-20,445485,200, ,7.24,1448.0,25313,17795,1454.23
0,954420,2022-07-20,445485,120, ,7.24,868.8,25313,17795,1454.23
0,954421,2022-07-20,445485,200, ,7.24,1448.0,25313,17795,1454.23
0,954422,2022-07-20,445485,120, ,7.24,868.8,25313,17795,1454.23
0,954423,2022-07-20,445485,120, ,7.24,868.8,25313,17795,1454.23
0,954424,2022-07-20,445485,120, ,7.24,868.8,25313,17795,1454.23
0,954425,2022-07-20,445485,120, ,7.24,868.8,25313,17795,1454.23
0,954426,2022-07-20,445485,120, ,7.24,868.8,25313,17795,1454.23
0,954427,2022-07-20,445485,120, ,7.24,868.8,25313,17795,1454.23
0,954428,2022-07-20,445485,120, ,7.24,868.8,25313,17795,1454.23
0,954429,2022-07-20,445485,120, ,7.24,868.8,25313,17795,1454.23
0,956049,2022-07-07,445485,3000, ,5.99,17970.0,25313,38490,1454.23
0,956663,2022-08-05,445485,600, ,8.5,5100.0,6050,6033,1454.23
0,956733,2022-04-07,445485,480, ,9.3,4464.0,97012,1058,1454.23
0,957549,2022-08-01,445485,1500, ,8.0,12000.0,38490,39136,1454.23
0,957556,2022-07-21,445485,250, ,109.62,27405.0,97012,97012,0.0
0,957557,2022-07-21,445485,25, ,1756.56,43914.0,97012,97012,0.0
0,957558,2022-07-21,445485,25, ,2025.1,50627.5,97012,97012,0.0
0,957559,2022-07-21,445485,25, ,1893.03,47325.8,97012,97012,0.0
0,957560,2022-07-21,445485,25, ,2157.18,53929.5,97012,97012,0.0
0,957561,2022-07-21,445485,25, ,2179.19,54479.8,97012,97012,0.0
0,957562,2022-07-21,445485,300, ,44.02,13206.0,97012,97012,0.0
0,957563,2022-07-21,445485,500, ,162.89,81445.0,97012,97012,0.0
0,957564,2022-07-21,445485,20, ,638.35,12767.0,97012,97012,0.0
0,957565,2022-07-21,445485,20, ,1155.63,23112.6,97012,97012,0.0
0,957566,2022-07-21,445485,20, ,770.42,15408.4,97012,97012,0.0
0,957567,2022-07-21,445485,10, ,1926.05,19260.5,97012,97012,0.0
0,957568,2022-07-21,445485,20, ,1348.24,26964.8,97012,97012,0.0
0,957569,2022-07-21,445485,10, ,2146.17,21461.7,97012,97012,0.0
0,957570,2022-07-21,445485,10, ,1430.78,14307.8,97012,97012,0.0
0,957571,2022-07-21,445485,500, ,193.71,96855.0,97012,97012,0.0
0,957572,2022-07-21,445485,500, ,653.76,326880.0,97012,97012,0.0
0,957573,2022-07-21,445485,500, ,0.92,460.0,97012,97012,0.0
0,957574,2022-07-21,445485,5, ,16398.9,81994.7,97012,97012,0.0
0,957575,2022-07-21,445485,5, ,14968.2,74840.8,97012,97012,0.0
0,957576,2022-07-21,445485,5, ,15408.4,77042.0,97012,97012,0.0
0,957577,2022-07-21,445485,5, ,8364.56,41822.8,97012,97012,0.0
0,957578,2022-07-21,445485,5, ,8144.44,40722.2,97012,97012,0.0
0,957579,2022-07-21,445485,20, ,495.27,9905.4,97012,97012,0.0
0,957580,2022-07-21,445485,20, ,825.45,16509.0,97012,97012,0.0
0,957581,2022-07-21,445485,5, ,10895.9,54479.7,97012,97012,0.0
0,957582,2022-07-21,445485,20, ,1430.78,28615.6,97012,97012,0.0
0,957583,2022-07-21,445485,20, ,930.01,18600.2,97012,97012,0.0
0,957584,2022-07-21,445485,20, ,825.45,16509.0,97012,97012,0.0
0,957585,2022-07-21,445485,20, ,935.51,18710.2,97012,97012,0.0
0,957586,2022-07-21,445485,100, ,52.83,5283.0,97012,97012,0.0
0,957587,2022-07-21,445485,50, ,990.54,49527.0,97012,97012,0.0
0,957588,2022-07-21,445485,200, ,258.64,51728.0,97012,97012,0.0
0,957589,2022-07-21,445485,200, ,302.11,60422.0,97012,97012,0.0
0,957590,2022-07-21,445485,500, ,215.72,107860.0,97012,97012,0.0
0,957591,2022-07-21,445485,2000, ,32.74,65480.0,97012,97012,0.0
0,957592,2022-07-21,445485,100, ,40.72,4072.0,97012,97012,0.0
0,957593,2022-07-21,445485,25, ,704.38,17609.5,97012,97012,0.0
0,957594,2022-07-21,445485,100, ,158.49,15849.0,97012,97012,0.0
0,957595,2022-07-21,445485,25, ,1518.83,37970.8,97012,97012,0.0
0,957596,2022-07-21,445485,750, ,116.96,87720.0,97012,97012,0.0
0,957597,2022-07-21,445485,750, ,56.79,42592.5,97012,97012,0.0
0,957598,2022-07-21,445485,500, ,0.41,205.0,97012,97012,0.0
0,957599,2022-07-21,445485,500, ,0.41,205.0,97012,97012,0.0
0,957600,2022-07-21,445485,25, ,981.74,24543.5,97012,97012,0.0
0,957601,2022-07-21,445485,25, ,1056.58,26414.5,97012,97012,0.0
0,957602,2022-07-21,445485,25, ,1135.82,28395.5,97012,97012,0.0
0,957603,2022-07-21,445485,25, ,1232.67,30816.8,97012,97012,0.0
0,957604,2022-07-21,445485,25, ,1540.84,38521.0,97012,97012,0.0
0,957605,2022-07-21,445485,25, ,1584.86,39621.5,97012,97012,0.0
0,957606,2022-07-21,445485,25, ,1672.91,41822.8,97012,97012,0.0
0,957607,2022-07-21,445485,25, ,1276.7,31917.5,97012,97012,0.0
0,957608,2022-07-21,445485,25, ,968.53,24213.2,97012,97012,0.0
0,957609,2022-07-21,445485,25, ,1166.64,29166.0,97012,97012,0.0
0,957610,2022-07-21,445485,25, ,1025.76,25644.0,97012,97012,0.0
0,957611,2022-07-21,445485,500, ,143.08,71540.0,97012,97012,0.0
0,957612,2022-07-21,445485,3, ,55396.9,166191.0,97012,97012,0.0
0,957613,2022-07-21,445485,25, ,6823.72,170593.0,97012,97012,0.0
0,957614,2022-07-21,445485,12, ,32467.7,389612.0,97012,97012,0.0
0,957615,2022-07-21,445485,80, ,6906.27,552502.0,97012,97012,0.0
0,957616,2022-07-21,445485,5, ,15562.5,77812.4,97012,97012,0.0
0,957617,2022-07-21,445485,500, ,58.22,29110.0,97012,97012,0.0
