codigo,descricao,codigo_grupo
3640,MÁQUINAS PARA INDÚSTRIAS DE TABACO                                                                                      ,36
3645,MÁQUINAS PARA INDÚSTRIAS DE COURO E DE CURTUMES                                                                         ,36
3650,MÁQUINAS PARA INDÚSTRIAS DE PRODUTOS QUÍMICOS  E  FARMACÊUTICOS                                                         ,36
3655,"SISTEMAS DE GERAÇÃO E DISTRIBUIÇÃO DE GÁS, FIXOS OU MÓVEIS                                                              ",36
3660,MAQUINARIA PARA REDUÇÃO INDUSTRIAL DE TAMANHO                                                                           ,36
3670,"MÁQUINAS ESPECIALIZADAS PARA FABRICAÇÃO  DE  SEMICONDUTORES,CIRCUITOS MICROELETRÔNICOS E PLACAS DE CIRCUITOS IMPRESSOS  ",36
3680,"MÁQUINAS PARA FUNDIÇÃO, EQUIPAMENTOS E  SUPRIMENTOS  CORRELATOS                                                         ",36
3685,MÁQUINAS ESPECIALIZADAS PARA FABRICAÇÃO DE RECIPIENTES  METÁLICOS E EQUIPAMENTOS CORRELATOS                             ,36
3690,MÁQUINARIA ESPECIALIZADA PARA ARMAMENTO E MUNIÇÃO  E  EQUIPAMENTOS CORRELATOS                                           ,36
3693,MAQUINARIA INDUSTRIL PARA MONTAGEM                                                                                      ,36
3694,EQUIPAMENTOS E INSTALAÇÕES PARA SANEAMENTO AMBIENTAL                                                                    ,36
3695,MÁQUINAS DIVERSAS PARA INDÚSTRIAS ESPECIALIZADAS                                                                        ,36
3710,EQUIPAMENTO PARA PREPARAÇÃO DO SOLO                                                                                     ,37
3720,EQUIPAMENTO DE COLHEITA                                                                                                 ,37
3730,"EQUIPAMENTO DE LATICÍNIOS, AVICULTURA E PECUÁRIA                                                                        ",37
3740,"EQUIPAMENTO PARA CONTROLE DE PRAGAS, DOENÇAS E GEADAS                                                                   ",37
3750,IMPLEMENTOS E FERRAMENTAS DE JARDINAGEM                                                                                 ,37
3760,VEICULOS DE TRACAO ANIMAL E REBOQUES PARA USO AGRICOLA                                                                  ,37
3770,"SELARIA, ARREAMENTO, CHICOTE E ACESSÓRIOS CORRELATOS PARA   ANIMAIS                                                     ",37
3805,EQUIPAMENTOS PARA MOVIMENTAÇÃO E ESCAVAÇÃO DE TERRA                                                                     ,38
3810,GUINDASTES E ESCAVADEIRAS                                                                                               ,38
3815,ACESSÓRIOS PARA GUINDASTES E ESCAVADEIRAS                                                                               ,38
3820,"EQUIPAMENTOS PARA MINERAÇÃO, PERFURAÇÃO DE ROCHAS, TERRA  E CORRELATOS                                                  ",38
3825,EQUIPAMENTO DE DESOBSTRUÇÃO E LIMPEZA DE ESTRADAS                                                                       ,38
3830,ACESSÓRIOS PARA CAMINHÕES E TRATORES                                                                                    ,38
3835,EQUIPAMENTO PARA PRODUÇÃO E DISTRIBUIÇÃO DE PETRÓLEO                                                                    ,38
3895,EQUIPAMENTOS DIVERSOS PARA CONSTRUÇÃO                                                                                   ,38
3910,TRANSPORTADORES                                                                                                         ,39
3915,EQUIPAMENTOS ALIMENTADORES DE MATERIAIS-PRIMAS                                                                          ,39
3920,EQUIPAMENTOS NÃO AUTOPROPULSIONADO PARA MOVIMENTAÇÃO  DE  MATERIAIS                                                     ,39
3930,VEÍCULOS AUTOPROPULSIONADOS PARA ARMAZÉM                                                                                ,39
3940,"POLEAMES, TALHAS, MOITÕES, MASSAMES E LINGAS                                                                            ",39
3950,"GUINCHOS, IÇADORES, GUINDASTES E CÁBREAS                                                                                ",39
3960,ELEVADORES E ESCADAS ROLANTES                                                                                           ,39
3990,EQUIPAMENTOS DIVERSOS PARA MOVIMENTAÇÃO DE MATERIAIS                                                                    ,39
4010,CORRENTES E CABOS DE AÇO                                                                                                ,40
4020,"CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",40
4030,"ACESSÓRIOS PARA CORDAS, CABOS E CORRENTES                                                                               ",40
4110,EQUIPAMENTO PARA REFRIGERAÇÃO                                                                                           ,41
4120,EQUIPAMENTO DE AR CONDICIONADO                                                                                          ,41
4130,COMPONENTES DE EQUIPAMENTOS PARA REFRIGERAÇÃO E AR  CONDICIONADO                                                        ,41
4140,"VENTILADORES, CIRCULADORES DE AR E VENTOINHAS                                                                           ",41
4150,TUBOS DE TURBILHONAMENTO E OUTROS TUBOS  RELACIONADOS  À  REFRIGERAÇÃO                                                  ,41
4210,EQUIPAMENTOS PARA COMBATE A INCÊNDIO                                                                                    ,42
4220,EQUIPAMENTO PARA MERGULHO E SALVAMENTO MARÍTIMO                                                                         ,42
4230,EQUIPAMENTO  PARA DESCONTAMINAÇÃO E IMPREGNAÇÃO                                                                         ,42
4235,"RECIPIENTES PARA COLETA DE MATERIAIS PERIGOSOS, MATERIAIS E EQUIPAMENTOS DE LIMPEZA                                     ",42
4240,EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO                                                                                 ,42
4250,EQUIPAMENTO PARA RECICLAGEM E RECUPERAÇÃO                                                                               ,42
4310,BOMBAS E COMPRESSORES A VÁCUO                                                                                           ,43
4320,BOMBAS MANUAIS E MECÂNICAS                                                                                              ,43
4330,"CENTRIFUGADORES, SEPARADORES E FILTROS DE PRESSÃO E A VÁCUO                                                             ",43
4410,CALDEIRAS INDUSTRIAIS                                                                                                   ,44
4420,TROCADORES DE CALOR E CONDENSADORES DE VAPOR                                                                            ,44
4425,EQUIPAMENTOS INDUSTRIAIS DE VENTILACAO E CIRCULACAO                                                                     ,44
4430,"FORNALHAS, FORNOS E ESTUFAS INDUSTRIAIS                                                                                 ",44
4440,"SECADORES, DESIDRATADORES E ANTI-HIDRATADORES                                                                           ",44
4460,EQUIPAMENTOS PARA PURIFICAÇÃO DE AR                                                                                     ,44
4470,REATORES NUCLEARES                                                                                                      ,44
4510,DISPOSITIVOS E ACESSÓRIOS PARA INSTALAÇÕES HIDRÁULICAS                                                                  ,45
4520,EQUIPAMENTOS PARA CALEFAÇÃO E AQUECEDORES DOMÉSTICOS DE ÁGUA                                                            ,45
4530,EQUIPAMENTOS PARA QUEIMA DE COMBUSTIVEL                                                                                 ,45
4540,"EQUIPAMENTOS DIVERSOS DE INSTALAÇÕES HIDRÁULICAS, SANITÁRIASE DE CALEFAÇÃO                                              ",45
4610,EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,46
4620,"EQUIPAMENTOS PARA DESTILAÇÃO DE ÁGUA, PARA  USO  MARÍTIMO E INDUSTRIAL                                                  ",46
4630,EQUIPAMENTOS PARA TRATAMENTO DE ESGOTOS                                                                                 ,46
4710,CANOS E TUBOS                                                                                                           ,47
